Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_red->green	lnL
17568	0.012875	0.021740	0.001657	0.002831	1.835639	-3513.023
17572	0.014457	0.028807	0.003070	0.002831	1.835639	-3511.146
17576	0.013684	0.025122	0.002155	0.002569	2.414380	-3507.665
17580	0.015323	0.025285	0.002600	0.002569	1.519213	-3508.413
17584	0.018082	0.031740	0.002300	0.002569	1.234427	-3514.142
17588	0.018996	0.037145	0.003962	0.003085	1.883308	-3528.467
17592	0.023490	0.037471	0.003823	0.003498	2.061846	-3517.018
17596	0.023417	0.029478	0.002368	0.003498	1.342880	-3507.587
17600	0.023598	0.036204	0.003266	0.003498	1.596789	-3506.011
17604	0.020167	0.036540	0.002447	0.003504	1.433730	-3524.129
17608	0.017512	0.032226	0.001912	0.003099	1.048196	-3521.959
